Memory,Date,Event,Tag,Image
"On Wednesday Septembet 11 2024, Zwan traveled home while Vita traveled to Chennai via Coimbatore. He always expected that she would message him after reaching, but this time, he didn’t receive any message. ",9/11/2024,Changing Attitudes,No messages,
"So on September 12 2024  Thursday night, he called her and she told him that she had reached but was a bit tired, so she couldn’t message. Zwan had sent her a photo with Ra, and she just reacted to the photo, and that was all. Zwan messaged her again, but he didn’t get any reply for four days. As he was at home, he couldn’t call her too.",9/12/2024,Changing Attitudes,Zwan Meeting Ra,
"On September 15, 2024, while Zwan was returning from home, the bus broke down near Mettupalayam hill and moved slowly. For dinner, it stopped right in front of the same hotel that had once strengthened the bond between him and Vita back in June. This memory struck him deeply, and so after dinner, he tried calling her. He called more than three times, but there was no answer. This made him panic — he didn’t know what had happened. Two thoughts ran through his mind: one, maybe she was not feeling well; two, maybe she was deliberately avoiding him. Zwan felt he could accept if she was avoiding him, but he needed her to be open about it. What really made him panic was the fear that she might not be okay. He started trembling in his seat and, feeling overwhelmed, called a close friend who knew about his feelings for Vita to help calm him down. In the middle of that call, Vita returned his call and said she was good and fine. Zwan lightly explained how he felt during that moment and told her he would call her again the next night. After I finished the talk with her, I sat and thought for a long time. She had mentioned that she saw the call while talking to her parents and then went for food. I won’t say that’s wrong — it's understandable. But the Vita from a month ago would have been so excited for calls that, at any moment, even during her busiest times, she would’ve immediately called back or at least messaged to say she’d return after food. This time, that emotion, that eagerness — it just wasn’t there. That’s when I truly understood how deeply I had become attached to her, and how much things had changed without either of us fully acknowledging it.",9/15/2024,Zwan's Travel Back,Zwan's Panic,
"On September 16, 2024, Monday, Zwan waited until Vita’s shift ended at 11:30 p.m. to talk to her. He shared what he had been feeling the previous night and explained that he was planning to distance himself from WhatsApp and Instagram, as those platforms were filled with memories and emotional attachments tied to her. His intention wasn’t to hurt her; rather, he understood that she had already moved to a space where emotional attachment had begun to fade. When he conveyed this to her, Vita simply responded with a quiet “okay,” and that was it. On September 16, 2024, Zwan waited until 11:30 PM just to talk. He didn’t know what to say or how to say it. If his words had hurt Vita, he truly felt sorry. She had done nothing wrong — it was entirely Zwan’s emotions. He had already told her that he was emotionally weak in some aspects. Though he had suggested they take a small break and keep some distance, he knew it wouldn’t happen overnight. So, that night, Zwan began writing this journal — one he started for himself, but with the hope of eventually giving it to her on her birthday. He didn’t know when he would finish it, or how long it would become, but once complete, he planned to present it to Vita. Even at the end of journal he had planned to give a positive closure by saying ""It Ends with Us"", the title of their favourite, so that even after closure they would possible talk.",9/16/2024,Zwan's Open Talk,Zwan's Talk,
"On September 17, 2024, Zwan began writing a journal he had initially planned all the way back in July — a heartfelt gift for Vita’s upcoming birthday on October 31.",9/17/2024,Birthday Journal,Journal Started,
"On September 17, 2024, though Zwan had planned to stay offline, he had told Vita earlier that if there was ever anything she wanted to talk about, she could call him anytime. Unexpectedly, around 2:30 PM, he received a missed call from her. He called back, and she told him she was going home and had just booked the ticket — something he had alluded to back on page 2 of his journal. That moment made Zwan realize that perhaps what he had said earlier — about maintaining distance — had been a mistake. Wanting to see her off, he went to the bus stand. There, he gently asked her, “Was what I said the reason you're going home?” Though Vita replied no, the look on her face told him otherwise. She had originally planned to stay home for two weeks but couldn’t get work-from-home approval from her manager. Even though he was trying to remain offline, Zwan told her to message him on Instagram after she reached safely.",9/17/2024,Zwan's Open Talk,Vita's Grief,
"On September 18, 2024, Zwan logged into Instagram just to check if Vita had reached home safely, as he hadn’t received any message from her. Seeing no update, he sent her a message asking if she had reached, and she replied that she had. But even in that moment, a realization struck him deeply — he was the only one putting in the effort to check on her, to stay connected. And honestly, he could no longer understand what was truly going on in her mind. Zwan kept checking on Vita daily, just to make sure she was okay. One thought lingered in his mind — it was around the time of her periods, and he wondered if her mood swings might have played a role in how she responded to his words about keeping some distance. Maybe, unknowingly, what he said had affected her emotionally and led her to decide on going home. Since she wasn’t granted two weeks of work-from-home approval, she planned to return on September 21, a Saturday, so she could be back in Chennai by Sunday morning.",9/18/2024,Zwan's Open Talk,Vita's Home Time,
"On September 22, 2024, Zwan planned a surprise for Vita — deep down, he felt that perhaps he was the reason she had abruptly decided to go home. He reached the bus stand between 5:30 and 6:00 in the morning, hoping to catch a glimpse of her as she stepped off the bus. But she wasn’t there. For a moment, he wondered if she hadn’t come at all or if she had taken a different route, possibly via Coimbatore. He messaged her to ask if she had reached safely. Around 9:00 AM, she replied, saying that she had returned with her friends in a car. That was fine — Zwan hadn’t known about the change in plan.What truly mattered to him wasn’t just seeing her; it was asking her something that had been weighing on his mind: did his words about keeping distance come at the wrong time — perhaps during her period mood swings — and push her to leave for home to regain peace? If that were the case, Zwan genuinely wanted to apologize for not being more considerate, especially when he was aware of her emotional state. He had left her a message asking her to call him once she returned from her outing with friends. He waited the entire night for a response, but none came. Assuming she must have had a long day, Zwan decided he would try to speak to her the following evening.",9/22/2024,Zwan's Failed Surprise,Vita's Travel Back,
"On the night of September 23, 2024, Zwan called Vita twice—once the line was busy, and the other time she didn’t answer. He assumed it might be because of her shift and expected she would call him later. But that was it. This was the moment when everything started to fall silent. Zwan waited for her call for five days, but it never came. And just like that, this became the longest stretch of time they had gone without any message or call since March 2024.",9/23/2024,Vita's No respone,Zwan's Grief,
"Zwan had stopped writing the birthday journal for Vita after the third page—right after she told him she was going home. But as he waited for her call and it never came, he chose to stay offline, just as he had mentioned to her before, and instead decided to continue writing this journal. While writing, he experienced a wave of mixed emotions—happiness, love, care—but never sadness or anger toward her. The only thought that kept returning to him was this: once he completes the journal, he should show it to Vita and let her read it. Yes, he was writing this for her. He was reliving and cherishing every beautiful moment they had shared. That alone was more than enough for Zwan to remember her for a lifetime. And even if Vita doesn’t talk to him after reading it, he knew he would be okay—because he would always have this journal to read and smile.",1/1/0100,Birthday Journal,Journal restarted,
"On September 28, 2024, Zwan had called Vita more than three times. Suddenly, she sent him an SMS saying she was in Trichy, at a temple with her family. Zwan felt a little sad—not because she was obligated to tell him, but because for the past two to three months, they had shared even the smallest updates with each other. He was someone who still made the effort to call her now and then, and the thought crossed his mind: had she started forgetting him? Why didn’t she feel like letting him know she was going to the temple with her family? But still, he told himself—it’s okay.",9/28/2024,Vita's Temple Travel,Zwan's Calls,
"Zwan’s only aim now was to give Vita this journal. He had planned to meet her on Gandhi Jayanti and hand it over along with the birthday gift he had lovingly chosen for her. But Vita had messaged saying she would be back in Chennai only on October 1. So, with that, Zwan knew he had to wait just a little longer.",1/1/0100,Birthday Journal,Journal Plan,
"On October 1, 2024, Zwan messaged Vita asking whether she had reached Chennai, hoping to meet her and present the journal. But Vita replied that she would only start her journey the next morning and would reach Chennai by the evening of October 2. With that, Zwan understood he couldn't meet her on Gandhi Jayanti as planned. Still, he held on to hope—perhaps the weekend would give him the chance to meet her and finally hand over the journal filled with all their shared memories",10/1/2024,Birthday Journal,Plan Changed,
"More than WhatsApp, Vita was an Instagram buddy for Zwan!! Almost 250 MB of chats between them... filled with photos, reels, voice notes, video calls, vlogs, and memories that can never be erased. That app was not just Instagram for Zwan—it was a box of memories with Vita.",1/1/0100,Birthday Journal,Insta Chat Export,
"That one 13-hour ride — which began with a simple question, “Was the day hectic?” — changed everything. Zwan never imagined a stranger he met in a single journey could make such a deep emotional impact. But over the course of the next nine months, Vita became one of the closest people in his life — his favorite person, aside from his family. That one journey left behind a trail of beautiful emotions and cloudy, unforgettable memories.",12/30/1899,Birthday Journal,More Questions,
"On October 2 2024, Vita didn't text Zwan telling she reached Chennai.",10/2/2024,Birthday Journal,Next Plan,
"On October 3 2024, Zwan tried calling Vita, which she cut the call. Vita messaged back that she on the way to chennai in car attending an interview. She said she would message Zwan once she reached back at her PG/Hostel",10/3/2024,Birthday Journal,Vita's Travel back,
"On October 4, 2024, Vita messaged Zwan in the morning, letting him know she had reached Chennai safely. They discussed meeting on Saturday, and Zwan was truly excited — he had been waiting eagerly for this moment, to finally give her the journal and the birthday gift he had prepared with so much thought. But by afternoon, Vita informed him that it was Gayu's birthday the next day, and that their meeting might not happen as planned. With that, the plan to meet her — something Zwan had emotionally invested in for weeks — fell apart. Despite the disappointment, Zwan chose to open up. He explained everything that had happened over the last two months — the thoughts, the feelings, the changes. That’s when Vita shared that she had started distancing herself intentionally, just as they had once discussed. Zwan hadn’t realized it, and he accepted it as his own oversight. Still, Zwan wanted to salute what they once shared — the connection, the memories, and most of all, the story that had unfolded between them. So, from 5 to 5:30 PM, he shared his screen via Google Meet and let Vita begin reading the journal as it was digital journal. She got through the first seven pages before her meeting started, and she said they would continue after it ended. Zwan waited till 10 p.m and her messaged her, she said meeting still didn't end. Zwan waited till midnight.",10/4/2024,Birthday Journal,Meet Plan,
"On October 5, 2024, at exactly 12:00 a.m., Zwan called Vita. But to his dismay, Vita cut the call and messaged that she was out with her friend Gayu. This left Zwan both sad and angry — he had been waiting for nearly six hours, expecting to continue where they left off with the journal, but Vita had left without saying a word. That night, Zwan couldn’t sleep properly, managing just two hours of restless rest. At 7:00 a.m. the next morning, he called Vita again. For the first time, Zwan confronted her with visible frustration — not just because she had gone out without informing him, but also because she was already on a trip with her birthday friend the next morning, which only added to his irritation. The call ended with ten minutes of heavy silence between them, after which they both hung up.",10/5/2024,Birthday Journal,The Fight,
"On October 6, 2024, although Zwan stood by what he had said during the confrontation, he couldn’t shake off the guilt about how he had expressed it. Feeling remorseful, he decided to apologize to Vita. From 7:30 a.m. to 12:30 p.m., he called her every 30 minutes — a total of 10 times — hoping she would answer. Finally, Vita messaged him saying she was okay. Zwan immediately initiated a video call — their first in over a month and a half — just to see for himself if she was truly alright. But something felt off. Her voice, her attitude… they didn’t seem okay. During the call, Vita mentioned that she was planning to travel home the next day.",10/6/2024,Birthday Journal,Apologise for fight,
"On October 7, 2024, Zwan began the day by wishing his twin sisters on their birthday. Later, he attempted to call Vita multiple times, but she declined the calls until the afternoon. Remembering that Vita had mentioned she would be leaving for home that day, Zwan made the spontaneous decision to book a bus ticket—hoping to meet her on the way and talk things through in person. He waited with the hope of seeing her, but Vita didn’t show up. It was only after Zwan had boarded the bus that she finally called back. She told him that she had already left in the morning. During the call, Vita revealed something that struck Zwan deeply—she said she didn’t have any friends who had confronted her the way he did, and because of that, she wouldn’t be able to talk to him the same way anymore. Zwan had originally intended to bring closure gently—on her birthday—by saying, ""It Ends with Us"", in a positive, heartfelt manner. But this sudden turn of events changed everything, flipping his plans and emotions upside down.",10/7/2024,Birthday Journal,Negative Closure,
"On October 15 2024, after a week Zwan tried messaging her and asking if she was okay for which Vita replied just ""Yes"".",10/15/2024,Birthday Journal,Message,
"On October 19, 2024, while Zwan was returning from his hometown, he called Vita to ask if they could meet the following day. Vita, however, told him that she was going to visit her sister’s place—something Zwan later realized wasn’t true. Feeling the need to bring clarity and closure to everything that had unfolded between them, Zwan decided to send her the journal he had been writing—the one that had begun with so much hope and was meant as a heartfelt birthday gift. He emailed the journal to her and gently asked her to read it before her birthday—the very occasion around which all the misunderstandings and emotional distance had begun.",10/19/2024,Birthday Journal,Call after Days,
"On October 31 2024 on Vita's Birthday, with confusion to wish her or not an d if wishing call or message after thinking for long time Zwan messaged ""Happy Birthday"" and made a call which she didn't attend at first. Then Vita called back and Zwan wished her. He asked her ""Whether you had read the journal?"" for which she replied ""Yes"" in mild voice.",10/31/2024,Birthday Journal,Vita's Birthday,
After the call Zwan and Vita hadn't talked for long time.,1/1/0100,Birthday Journal,No calls,
"Main Content of the Journal:

 Hey Hai !!! I really doesn’t know what to call you after 9 months, VI or VITA. We haven’t talked about any nick
names la!!? Leave the nick name apart!! Till our April election travel this girl didn’t even know my proper name. “Name ah
theriyaama oruthikku nammala pudichuchu santhosha padurathaa, aiiyoo pudicha ponnukku name ah therila nu varutha paduratha
nu confused ah irukkene”. I have named your folder in my Gallery as “Buddy” and I have denoted you as “KANNA” at times la...
So I’ll go with “KANNA” in this note. So,
Hi da KANNA, I’m gonna write this note for you in our mother tongue, as I think mother tongue especially Tamil and Malayalam
is best to share emotion at any situation. So shall I??

Enakku enga start panrathu nu theriyala!! Okay first of all, intha journal EN start pannen, eppuddi start pannen, enna
mindsetla start pannennu solrene!!
1. En Start pannen?? Obviously un birthdaykku ethaathu pannanumnu nenachen. This would the only birthday I can do something
like this memorable la and first birthday Namma pesa aarambichithu vera, so... atha ethaathu special ah pannalaame nu tha 2
months munnadi irunthu thediyittu irunthen. Intha scrap book concept enakku pudikkum generally. Atha digital ah try pannen...
Unakku pudichirukka nu enakku therla .. pudichirukka???
2. Eppudi Start pannen?? Startingla sonna maari, Na unna nenachu antha travel timela shiver and anxious aanathukku next day
unta naama distance vekkalaamnu sonnenaa, whatsapp and insta delete pannenà!! Appovum thought vanthucha appo tha en ippo
tha ezhutha start panna koodaathu nu neanchu appudiye start pannathu tha.
3. Enna mindsetla start pannen?? This is the most important one. Sept 22 nee return aavura timela I had only completed our first
meeting okay ah... annaikku morning Antha bus standla surprise panna vantha, nee ennaye surprise pantu friends koode
vanthenu sonne. Naanum surprise pannalaamnu kekkaama vanthathunaala ithu nadanthuchu okay fine. But Insta la naa message
pannen unakku, na oru vishayam kekka maranten veliya poyi vanthuttu call me nu, next day night varaikkum call illa nu na 2
times call panni paatha nee attend Pannala ... Appovum un mela kovam varala... en melaye enakku varutham vanthuthu...
nammala ippo mind ah pannathavangala naama en mind panna vekkanum, namma thaane ippo last 1 monthkku mela call initiate
panrathum message initiate panrathellaam, let’s see iva eppo call panna pora nu, insta la ethaathu reply vantha koode paaka
koodaathu nu veliya vanthathu tha ... Next day antha time varaikkum pathen... No call from U... Appo oru mindset la start
pannathu tha, ithu full ah mudichu October first weekulla unakku kondu vanthu kuduthu oru Good Bye solliyittu adutha weekla
irunthu antha thoughtslaam control pannanumnu... Athanaala tha na kudutha gift koode irukkura letter padichaale
therichirukkum... Itho paaru ithu ezhuthurathu varaikkum nee call Pannala... nee Trichy Kovil poyirukkenu koode sollala, daily
pesura aala thaane irunthen .. athu en sollala nu varutham definite ah vanthuchu ...
But though while I was writing this till the previous page, I didn’t shed a tear of sorrow. Ezhutha Ezhutha, it made me feel
so happy. Ivolo fun, fantasy and beautifulaana 7-8 months nu!! Mela mention panna antha 3rd pointoda ippo Suthama thonala ..
Yeah !! I accept varutham irukku nu ... Antha varutham is just because of the void of ur absence avolothaanu purinchu, now I
understood to keep myself busy by journaling like this. So varutham irunthaalum, I am happy on doing all this stuff. Itha tha
naanu... Nah ipdi irukkurathu tha nallaarkum la .. Ipdiye irukkene ....
As for when I write this, you were(past tense tha use panren) ... you were my favourite person excluding my parents and
sisters. Definitely, this would change tomorrow one day, anakke therincha vishayam ithu... Enakku unna vida pudichavangale
neraya peru irunthirukkaanga pastla, current aavum irukkaanga .... But avanga yaaruum nee aavaathu la... That 2 months, June &
July nee enakkaaga panna vishayams... enkoode tym spend pannanumne oru routine ready panni vechu, henna aanaalum paravala
atleast 5 mins aachu paathuttu porenu panra video calls, that video vlogs and ur voice notes for me, and atlast enakkaaga nee
aazhuthathu ... ithellam vera yaarum pannathu illa, pannuvaangalaanum therla ... “ENNAALA Azhurathukkum ENAKKAAGA
Azhurathukkum irukkura difference thane, will call as Love or Care”.
Hi Vita.....!!!!! A Note for Her

This journal was a new attempt by myself too .... Comic I had made personally, but I did wanted something more different
and memorable. Enakku theriyala, how much u liked this nu ... caz while I was doing this in my free time, my teammates had seen
what I am doing. Not the content, that’s our personal. When they saw the journal I was doing, all liked it but few said the person
who reads might not take this so much, considering those are just events happened. Okay, may be ... But this journal is something
I had handwritten after 6 years, since I had stopped writing my personal diary after college. This journal have given confidence to
write more in the way I thought. Ithu unakku present panratha vida, enakku journaling panrathukkum, this events memory
eppovaachu enakku thonuchuna(inime doubt tha, caz ithu exhuthurappove I felt so happy for those reminiscing memories), but
though thonuchuna eduthu padikkalaame nu tha pannen...
So That’s it... It would definitely ends with us right??!! Though I mentioned previously that the previous page 3 point tonalanu,
but I think that would be better for us la... So after completing writing this I had 2 different thoughts:
1. As 3rd point, I think that the journey that started on a festival day pongal, may be good to be ended on another festival day
Diwali which falls on your birthday. (OR)
2. Why not restart, with me asking “Is the days hectic??” Haha
But I think here point 1 would be good to go right.?

While I write this I don’t know what I told you to meet for today. That all the things would be lie. Na neraya ezhuthirukken
munnadiyum, neraya peruku anuppiyirukken but I haven’t seen their reaction while reading in person. I did really wanted to see
that in your face good or bad, no issue !! But my favourite person reading what I wrote on her and I’m watching it, That’s what I
needed. And the important thing that I wanted to tell is “ I Loved You and still I do and will do always”. Yeah, na ithu varaikkum
unta sonnathe illa, so end aavurappo aachu sollanumnu nenacha vishayam tha. I did have told this to few, even oru valentine’s
daykku en Amma kitteye sonnene, but unmayave pudicha oruthikitte 8 varsham munnadi sollala, at least nadakkaathu therinchum
oru tym unta solrene ... Eeee

Though we know, it would end with us and can’t be together, na intha love ah ipdi tha, love ah panna maatenu ellaam solla
maaten.. Na innum pannuven, enakku avolo pudikkura oruthar en life la varappo kandippa pannuven da ma... Yellaareyum panna tha
seiren, athu koode ippo unta irukkura feeling and emotion koode vantha innum super ah irukkum... Intha end-ah love uh failure nu
ellaam sollave maaten, caz as I mentioned above “I will always do love” but innoruthar partner ah varappo I will do love that
person more avolotha, un mela ippo irukkurathu kammi aavaathu... “Unloving You is impossible”, caz unloving means should hate you.
To hate you, you must had hurt me ... Antha Mari onnum nadakkave illaye, and nadakkavum seyyaathu ... Sila varutham mattum, caz
of the void of ur absence... athu vitta intha maari knjm journaling antha tymla pannaale sari aayirum ... Aayiruchune sollalaam

Before ending, Why I liked you so much?? itha theriyanum la ... Okay na solren, sollaama epdi porathu ... It’s not coz of your
voice I would always say ..!! It’s because of the excitement I see in your face and the time you had kept aside for me in those
days. The excitement I could see, in your face from, “Is the day hectic”, to even now when we are meeting. And secondly the time,
there are people who have kept their time for me at times, but what made you special is that you had made me as your daily
routine!! That would be special for everyone right?? I started understanding this when I started missing you..!! Yeah !! “I missed
you, I do now and will miss you too”. Also I forget to mention the Raayan song, “Usure Nee Thane” you had made me hear... . At
any point if you had felt something bad from me, in my talks or actions, I am sorry.

I was totally excited and blushed, when you had mentioned will I come trip with you... Naanum annaikku sonnen okay India
Kuala na try pannalaamnu ... but though you had told that solo trip ponum, together nu, at least to Pondy nu ... At that time even
I had planned okay, at least Pondy aachu nearby to ur birthday or my birthday weekend polaamnu ... But now, I understand that
won’t be possible at all....!!

Intha last 2 pages totally MY POV tha... Nothing issues from your side, marupadiyum api nenachu oorukku
kelambiraatha ... Na emotional ah attach aayittenaa knjm veliya vara time edukkum, athu yaara irunthaalum sari ...
emotional fear and weakness eppovume irukkura payyan tha naan .. athanaala tha ntha voidness oru maari ah
irunthuchu... appapo nadakkurathunaala pazhagiduchu ... athanaala tha na eppovum unta solluven, 2 yearsku aprm ah
oruthar ivolo close aavureenga nu.... Naanum puthusa yaareyum intha 2yrs la close aava vittathu illa caz of same fear ...
but inga antha Mari nadanthuchu avolotha ... ippo ithellaam naa pesunappo I feel good avolotha .... Discussion is what
any relationship needs... When I write this and you read all this .. It’s like something discussed ... Ithellaam read pantu
ungalkum ethaathu solrathukku irukkumla athum sollunga ...!!

I have told u la, ithukku munnadiyum sila pera pudichirunthathu nu ellaam, crush nu ellaam ... athellaam pudikka
start panrappove vena nu othunguven ... caz avanga ellaam mostly yearly once meet para Mari iruthuchu ... But You!!??
From election to today till I write we have travelled 2 times to home and 3 times from home, also met 3 times in
Chennai and 5 times boarding you from Bus stand ... This is like meeting each other once in 2 weeks ...!! That’s not
something have happened to me with someone ... And so I was not able to abruptly stop all this .... A proper closure is
what it is needed for a good ending la ...

Etho ORU reel anuppunappo nee sonniyee ORU payyan datelaam niyabagam vechu ovvoru events sonna
nallaarkumnu, epdi irunthuchu ....? Aprm enakku onnu theriyanum before reading last section “Why did/What did you
like me in most???”...

Though now I will little rephrase what Atlas had told Lilly, “At any point of time if you wanna a shoulder to lean,
person to laugh together with, smile at your smile and talk more than 6 hours to show ur excitement, Do consider me...
You are currently my most favourite person, and alway will be one of my favourite person who had given beautiful
memories of my life and how love should be”. Mainly Advance #Happy26 Happy Birthday to You!! Once again that
important thing, Love You !!, - It stops here. With me and you. It Ends With US!!

",12/30/1899,Birthday Journal,Journal Context,
